C0000000011FORDDEMOA0010000D00001PFLAT120250615002850000RETAIL  NN              
C0000000021FORDDEMOA0020000D00002PCUST120250620003100000CUSTCASHNY              
C0000000031FORDDEMOA0030000D00002PCUST120250620002200000CUSTCASHNN              
C0000000041FORDDEMOA0040000D00001PLOYL120250701004000000LOYALTY YN              
C0000000051FORDDEMOA0050000D00001PLOYL120250701004000000LOYALTY NN              
C0000000061FORDDEMOA0060000D00003PFLAT120250615002500000RETAIL  NN              
C0000000071FORDDEMOA0070000D00004PFLAT120250615002500000RETAIL  NN              
C0000000081FORDDEMOA0080000D99999PFLAT120250615002500000RETAIL  NN              
C0000000091FORDDEMOA0090000D00001P9999920250615002500000RETAIL  NN              
C0000000101FORDDEMOA0100000D00001PFLAT120240615002500000RETAIL  NN              
C0000000111FORDDEMOA0110000D00001PRGNW120250615002500000RETAIL  NN              
C0000000121FORDDEMOA0120000D00001PCAP0120250615003000000RETAIL  NN              
C0000000131FORDDEMOA0010000D00001PFLAT120250616002850000RETAIL  NN              
C0000000141FORDDEMOA0010000D00001PFLAT120250630002850000REVERSALNN              
C0000000151FORDDEMOA0150000D00001PFLAT120250615000000000RETAIL  NN              
C0000000161FORDDEMOA0160000D00001PFLAT120250615002500000BOGUS   NN              
C0000000171FORDDEMOA0170000D00001PGCAP120250615003000000RETAIL  NN              
